Date,Value
1997-05-31,176300.0
1997-04-30,172500.0
1997-03-31,170000.0
1997-02-28,168100.0
1997-01-31,166500.0
1996-12-31,164500.0
1996-11-30,162600.0
1996-10-31,161200.0
1996-09-30,160600.0
1996-08-31,160500.0
1996-07-31,160700.0
1996-06-30,160600.0
1996-05-31,160200.0
1996-04-30,160200.0
